gene,score.p,score.n,score.z,score.ppen,score.npen,ppv,npv,ppenpv,npenpv
ENSG00000185201,0.899628252788104,0.0111524163568773,0.0892193308550186,3.89,476.868162807048,0.000246849487845924,0.991478304672523,0.985750923641497,1.45772283133283e-13
ENSG00000156587,0.895910780669145,0.0855018587360595,0.0185873605947955,12.67,395.780498245543,0.00027043521786807,0.968694289576807,0.973283256682141,3.60835872292853e-09
ENSG00000068079,0.892193308550186,0.0966542750929368,0.0111524163568773,20.06,408.56,0.000296107021319325,0.962736667506782,0.956684098105798,8.49915360312536e-10
ENSG00000130813,0.869888475836431,0.0966542750929368,0.0334572490706319,22.39,275.35,0.000504212399376591,0.962736667506782,0.949985968209168,0.000200428692239907
ENSG00000204264,0.866171003717472,0.0669144981412639,0.0669144981412639,11.98,352.46,0.000549901011408616,0.976863705639206,0.974516168582342,3.21583250695312e-07
ENSG00000132274,0.847583643122677,0.137546468401487,0.0148698884758365,32.88,498.885095891054,0.000841354683313145,0.932576738499595,0.90911478873507,6.32827124036339e-15
ENSG00000136048,0.847583643122677,0.0966542750929368,0.0557620817843867,29.1,320.118580191475,0.000841354683313145,0.962736667506782,0.926025163338024,6.08423604975261e-06
ENSG00000123609,0.83271375464684,0.148698884758364,0.0185873605947955,23.79,350.38351063521,0.00117045074240907,0.921712606358684,0.945579654798482,3.92515893898882e-07
ENSG00000130303,0.828996282527881,0.144981412639405,0.0260223048327138,49.74,384.043980650827,0.00126937414185324,0.925472487849272,0.798999232973265,1.29662132142272e-08
ENSG00000160932,0.810408921933085,0.182156133828996,0.00743494423791827,39.1,318.25,0.00188860038947036,0.881191215859949,0.875312740289493,7.13405121022248e-06
ENSG00000100342,0.802973977695167,0.152416356877323,0.0446096654275093,58.38,400.049236922303,0.00220530737446267,0.917810601818235,0.720128161798039,2.23994545134332e-09
ENSG00000240065,0.802973977695167,0.133828996282528,0.0631970260223048,34.31,406.77,0.00220530737446267,0.935926746762513,0.902019895670101,1.04418851343269e-09
ENSG00000000971,0.795539033457249,0.152416356877323,0.0520446096654275,55.37,327.898870143954,0.00256941591930415,0.917810601818235,0.74920806911561,3.09686072230697e-06
ENSG00000185885,0.79182156133829,0.0408921933085502,0.16728624535316,9.58,632.813393514972,0.00277112549004188,0.98523128669233,0.97843959674208,0
ENSG00000135899,0.788104089219331,0.211895910780669,2.77555756156289e-17,56.63,329.658694343279,0.00298701709491567,0.834333115525028,0.73723266192016,2.65072625205143e-06
ENSG00000148175,0.784386617100372,0.141263940520446,0.0743494423791822,29.08,256.048617910684,0.00321794922870655,0.929092938535615,0.92610775656722,0.00073762872401173
ENSG00000182326,0.784386617100372,0.122676579925651,0.0929368029739777,38.2,357.309260074933,0.00321794922870655,0.945203612466078,0.880684340595431,2.00763792923553e-07
ENSG00000119917,0.780669144981413,0.156133828996283,0.0631970260223049,40.88,587.963470418559,0.00346482151901018,0.91376387881249,0.864196713892038,0
ENSG00000105559,0.776951672862453,0.156133828996283,0.066914498141264,34.3,231.45,0.00372857590356057,0.91376387881249,0.902070880797015,0.00325728216823373
ENSG00000132109,0.776951672862453,0.189591078066915,0.033457249070632,26.68,227.72,0.00372857590356057,0.870462408442645,0.93551644182213,0.00401128414301144
ENSG00000132256,0.776951672862453,0.189591078066915,0.033457249070632,38.99,236.66,0.00372857590356057,0.870462408442645,0.875978189740368,0.0024171808487814
ENSG00000115415,0.773234200743494,0.215613382899628,0.0111524163568773,39.15,336.738864551643,0.00401019778381462,0.827731661768484,0.875009439771502,1.4028731567528e-06
ENSG00000239713,0.773234200743494,0.144981412639405,0.0817843866171003,27.79,324.627280070967,0.00401019778381462,0.925472487849272,0.931287545013004,4.12398674409786e-06
ENSG00000185215,0.769516728624535,0.16728624535316,0.0631970260223048,42.1,243.516603023331,0.00431071714959341,0.900731087882398,0.856196853642622,0.0016108188331625
ENSG00000185338,0.769516728624535,0.178438661710037,0.0520446096654275,44.27,366.845208073177,0.00431071714959341,0.88631359906876,0.841195904953813,7.76772720589847e-08
ENSG00000067066,0.765799256505576,0.230483271375465,0.00371747211895909,43.28,347.56,0.0046312096693204,0.799678522334271,0.848162470839773,5.13514040512142e-07
ENSG00000116663,0.765799256505576,0.12639405204461,0.107806691449814,40.7,266.577512326108,0.0046312096693204,0.942237166474624,0.86535070528747,0.000367882298164313
ENSG00000128284,0.765799256505576,0.159851301115242,0.0743494423791822,31.36,369.728268811089,0.0046312096693204,0.909569947819467,0.916230514211789,5.79416706836256e-08
ENSG00000142102,0.765799256505576,0.193308550185874,0.0408921933085502,50.11,164.81,0.0046312096693204,0.864853533896853,0.795920885962253,0.0697421642591599
ENSG00000168899,0.765799256505576,0.197026022304833,0.0371747211895911,28.91,311.7,0.0046312096693204,0.85908036227966,0.926806956247863,1.23500307567248e-05
